Season,Humidity,Temperature,Grass,YouCanPlant
Summer,True,20,Hard,No
Summer,False,24,Soft,No
Summer,True,16,Soft,Yes
Autumn,False,10,Soft,No
Autumn,True,9,Hard,No
Autumn,False,3,Hard,No
Winter,True,-10,Hard,No
Winter,False,-14,Soft,No
Winter,True,-23,Hard,No
Spring,True,3,Hard,No
Spring,True,12,Soft,Yes
Spring,True,23,Hard,Yes
Autumn,False,-1,Hard,Yes
Autumn,False,6,Soft,No
Summer,False,8,Hard,Yes
Winter,False,-27,Soft,Yes
Autumn,True,5,Hard,Yes
Autumn,False,29,Soft,Yes
Summer,True,10,Soft,No
Summer,True,-18,Hard,Yes
Winter,True,27,Hard,No
Summer,True,-5,Soft,Yes
Winter,False,-1,Hard,No
Autumn,True,-17,Hard,Yes
Summer,True,18,Hard,Yes
Autumn,True,-29,Soft,No
Winter,True,13,Hard,Yes
Winter,False,-24,Hard,No
Autumn,True,-12,Soft,No
Autumn,True,21,Soft,Yes
Autumn,False,-1,Hard,Yes
Summer,False,-22,Soft,Yes
